Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue,P/E,P/S,grahamCoef,PSCoef,PECoef,ROECoef,Graham Difference,Graham Coefficient,Main Coefficient
Газпром,24034.0,3490.0,23673.0,162.8,4118.0,4.5,31.6,7979.0,5.151898734177215,0.5161047750344655,18.75956191588785,5.780930678523702,28.011114053981125,75.63903403474086,31.24043808411215,10.46587699562142,31.38111230661461
Роснефть,16457.0,6089.0,10598.0,598.1,4378.0,19.1,99.7,8761.0,5.998996990972919,0.49971464444698094,61.13680362654321,5.597343520796142,28.566259378213598,76.66996186979239,8.863196373456788,2.8577324399776582,39.64862653080498
Сургутнефтегаз,5841.0,0.0,35726.0,39.7,1106.0,9.4,14.4,1888.0,2.7569444444444446,0.5858050847457628,24.282181133367576,6.561649397287221,26.44158222573146,75.98503036294309,25.717818866632424,8.588215491328206,34.3935832485962
Газпромнефть,4960.0,734.0,4741.0,543.0,2593.0,21.4,106.2,3068.0,5.112994350282486,0.8451760104302477,60.91725035494558,9.466883787545283,27.985618089802184,76.8323683095608,9.08274964505442,2.9323793982390023,36.44748703397433
Транснефть,3331.0,590.0,5.69,140550.0,989.2,6.1,23358.0,962.0,6.017210377600822,1.0282744282744283,29.17655964976286,11.51778374450439,28.578195509995012,75.75201242762321,20.82344035023714,6.924152523056233,28.731880650067584
Лукойл,2284.0,649.6,650.3,4071.0,3290.0,62.5,1215.0,2874.0,3.3506172839506174,1.1447459986082116,161.97817547723932,12.822391077527875,26.83064535781999,79.73450077672645,91.97817547723932,31.11638844134631,8.965075900032268
En+,2158.0,956.6,638.8,374.0,289.0,14.1,116.2,1134.0,3.2185886402753874,0.25485008818342153,19.886066256034624,2.8545961294499307,26.74412046697874,76.31690439203503,30.113933743965376,10.082871441441984,36.635316354164374
АФК Система,2098.0,1061.0,9650.0,11.9,154.2,18.5,2.01,912.7,5.920398009950249,0.16894927139257146,11.073770491803279,1.8924142409694238,28.514749584096887,76.62759497246152,38.92622950819672,13.079005679444803,33.1414254679504
ГМК Норникель,1814.0,807.7,152.9,15290.0,2250.0,80.2,2629.0,1185.0,5.815899581589958,1.8987341772151898,232.32048096988973,21.26787270025111,28.446266603015925,80.98432424798757,162.32048096988973,55.03240255449345,-23.762217609772915
Татнефть,1676.0,14.5,2179.0,348.4,955.8,26.0,130.8,1427.0,2.663608562691131,0.6697967764540995,45.691459524526024,7.502447023709887,26.38041461273876,77.15718118909759,4.308540475473976,1.30917337621386,41.96514617643507
ФСК ЕЭС,1644.0,227.4,1274665.0,0.162,142.4,2.3,0.02,247.6,8.1,0.5751211631663975,14.576855146124524,6.441977941000133,29.94315041452823,75.48368874452761,35.42314485387548,11.88797531094132,27.210585078057925
Русал,1410.0,665.2,15193.0,40.1,607.9,14.2,8.09,957.9,4.956736711990112,0.6346173922121306,81.79904672395274,7.108399939758008,27.883214742164856,76.32396554159018,11.799046723952742,3.8559061268478647,37.476444732819466
X5 Retail Group,1287.0,294.3,271.6,1953.0,397.7,50.9,164.3,2205.0,11.886792452830187,0.18036281179138322,53.43354487760653,2.0202582157469373,32.42482253126653,78.91540742832935,3.433544877606529,1.0116794723536016,43.45864720896228
ОАК,1187.0,697.2,310891.0,0.62,220.9,10.7,-0.06,468.2,-10.333333333333334,0.471806920119607,39.35329113924051,5.28474687853271,17.86287669430188,76.07682530716001,10.646708860759489,3.464117310626549,49.46508442369886
