Datetime,K,D,med
20230103 100100,0.0,0.0,0.0
20230103 100200,0.0,0.0,0.0
20230103 100300,0.0,0.0,0.0
20230103 100400,0.0,0.0,0.0
20230103 100500,0.0,0.0,0.0
20230103 100600,0.0,0.0,0.0
20230103 100700,0.0,0.0,0.0
20230103 100800,0.0,0.0,0.0
20230103 100900,0.0,0.0,0.0
20230103 101000,0.0,0.0,0.0
20230103 101100,0.0,0.0,0.0
20230103 101200,0.0,0.0,0.0
20230103 101300,0.0,0.0,0.0
20230103 101400,0.0,0.0,0.0
20230103 101500,0.0,0.0,0.0
20230103 101600,0.0,0.0,0.0
20230103 101700,0.0,0.0,0.0
20230103 101800,0.0,0.0,0.0
20230103 101900,0.0,0.0,0.0
20230103 102000,0.0,0.0,0.0
20230103 102100,0.0,0.0,0.0
20230103 102200,0.0,0.0,0.0
20230103 102300,0.0,0.0,0.0
20230103 102400,0.0,0.0,0.0
20230103 102500,0.0,0.0,0.0
20230103 102600,0.0,0.0,0.0
20230103 102700,0.0,0.0,0.0
20230103 102800,0.0,0.0,0.0
20230103 102900,0.0,0.0,0.0
20230103 103000,0.0,0.0,0.0
20230103 103100,0.0,0.0,0.0
20230103 103200,0.0,0.0,0.0
20230103 103300,0.0,0.0,0.0
20230103 103400,0.0,0.0,0.0
20230103 103500,0.0,0.0,0.0
20230103 103600,0.0,0.0,0.0
20230103 103700,0.0,0.0,0.0
20230103 103800,0.0,0.0,0.0
20230103 103900,0.0,0.0,0.0
20230103 104000,0.0,0.0,0.0
20230103 104100,0.0,0.0,0.0
20230103 104200,0.0,0.0,0.0
20230103 104300,0.0,0.0,0.0
20230103 104400,0.0,0.0,0.0
20230103 104500,0.0,0.0,0.0
20230103 104600,0.0,0.0,0.0
20230103 104700,0.0,0.0,0.0
20230103 104800,0.0,0.0,0.0
20230103 104900,0.0,0.0,0.0
20230103 105000,0.0,0.0,0.0
20230103 105100,0.0,0.0,0.0
20230103 105200,0.0,0.0,0.0
20230103 105300,0.0,0.0,0.0
20230103 105400,0.0,0.0,0.0
20230103 105500,0.0,0.0,0.0
20230103 105600,0.0,0.0,0.0
20230103 105700,0.0,0.0,0.0
20230103 105800,0.0,0.0,0.0
20230103 105900,0.0,0.0,0.0
20230103 110000,0.0,0.0,0.0
20230103 110100,0.0,0.0,0.0
20230103 110200,0.0,0.0,0.0
20230103 110300,0.0,0.0,0.0
20230103 110400,0.0,0.0,0.0
20230103 110500,0.0,0.0,0.0
20230103 110600,0.0,0.0,0.0
20230103 110700,0.0,0.0,0.0
20230103 110800,0.0,0.0,0.0
