Company name,Assets,Debt,Shares,Price,capital,ROE,EPS,revenue
Газпром,24034.0,3490.0,23673.0,162.8,4118.0,4.5,31.6,7979.0
Роснефть,16457.0,6089.0,10598.0,598.1,4378.0,19.1,99.7,8761.0
Сургутнефтегаз,5841.0,0.0,35726.0,39.7,1106.0,9.4,14.4,1888.0
Газпромнефть,4960.0,734.0,4741.0,543.0,2593.0,21.4,106.2,3068.0
Транснефть,3331.0,590.0,5.69,140550.0,989.2,6.1,23358.0,962.0
Лукойл,2284.0,649.6,650.3,4071.0,3290.0,62.5,1215.0,2874.0
En+,2158.0,956.6,638.8,374.0,289.0,14.1,116.2,1134.0
АФК Система,2098.0,1061.0,9650.0,11.9,154.2,18.5,2.01,912.7
ГМК Норникель,1814.0,807.7,152.9,15290.0,2250.0,80.2,2629.0,1185.0
Татнефть,1676.0,14.5,2179.0,348.4,955.8,26.0,130.8,1427.0
ФСК ЕЭС,1644.0,227.4,1274665.0,0.162,142.4,2.3,0.02,247.6
Русал,1410.0,665.2,15193.0,40.1,607.9,14.2,8.09,957.9
X5 Retail Group,1287.0,294.3,271.6,1953.0,397.7,50.9,164.3,2205.0
ОАК,1187.0,697.2,310891.0,0.62,220.9,10.7,-0.06,468.2
VEON,1183.0,762.1,1757.0,128.4,92.1,44.4,28.3,573.8
Аэрофлот,1106.0,798.3,3976.0,58.9,155.1,24.9,-8.67,491.7
Ростелеком,1103.0,444.4,3283.0,87.2,251.4,15.2,8.7,580.1
МТС,1083.0,486.1,1998.0,235.6,615.5,-356.9,16.7,541.8
ПИК СЗ,1061.0,447.3,660.5,1108.0,454.8,40.4,156.9,487.8
Русгидро,993.4,222.8,439289.0,0.761,362.9,3.2,0.04,418.6
Башнефть,916.1,138.1,147.8,1359.0,292.2,15.0,563.6,851.7
НЛМК,903.3,257.5,5993.0,217.5,809.1,78.0,62.0,1191.0
ИнтерРАО,762.5,289.9,104400.0,3.4,444.0,6.8,0.3,63.2
ММК,721.8,71.4,11174.0,69.5,438.4,49.0,20.5,873.2
Полюс золото,699.2,247.7,133.6,7676.0,1336.0,30.0,837.4,288.5
Северсталь,644.1,134.9,837.7,1606.0,836.5,96.2,357.6,835.5
Яндекс,616.7,51.2,372.2,1814.0,827.5,3.4,28.9,521.7
Россети,469.8,15.3,195996.0,1.12,222.3,-8.4,-0.2,24.9
ФосАгро,455.6,190.8,129.5,6398.0,942.1,92.3,1408.0,569.5
Русагро,432.8,233.4,134.5,661.0,105.5,4.4,50.5,240.2
АЛРОСА,423.7,122.5,7365.0,122.5,488.7,40.8,12.4,327.0
ЛСР Группа,416.2,215.1,103.0,462.6,69.6,13.8,129.7,139.7
Самолет,409.8,282.6,61.6,2418.0,161.9,42.0,185.0,172.2
МОЭСК,388.5,67.7,48707.0,1.01,54.4,7.1,0.28,199.7
Полиметалл,382.7,153.3,473.6,1312.0,277.1,41.1,142.0,212.9
Мосэнерго,379.1,7.51,39749.0,2.1,111.2,0.9,0.07,225.2
VK (Mail),360.9,124.5,226.1,436.0,121.7,-16.0,-120.3,128.8
ВСМПО-АВИСМА,357.0,103.6,11.5,20860.0,566.3,3.3,572.4,89.1
Лента,348.0,81.1,116.0,691.0,84.6,3.6,41.8,537.4
М.Видео,334.0,95.7,179.8,160.8,34.1,-105.4,-37.4,402.5
Русснефть,311.8,72.8,294.1,81.3,35.7,8.3,28.6,274.8
